Defenses,Mean,Std
sphere,18.97279340680921,12.533989503824293
,25.812859206440827,22.113873978160864
JPEG: 90,27.896539365777986,23.78714968198593
JPEG: 40,31.522545155068123,27.698683929459914
random light; JPEG: 90,41.712095534951956,35.35286869943421
light shift; JPEG: 90,37.963767828204475,30.588136146596742
random light; light shift; JPEG: 40,48.0428448604447,28.7931981845687
